FIPS,Incidence_Rate,Avg_Ann_Incidence,Recent Trend,StateFIPS,Mortality_Rate,Avg_Ann_Deaths,State,AreaName,All_Poverty,M_Poverty,F_Poverty,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,POPESTIMATE2015
01071,80.9,58,stable,01,64,46,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01073,65.1,482,falling,01,51.5,381,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01075,80.4,17,stable,01,72.2,15,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01077,69.3,87,stable,01,56.8,71,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01079,88.1,37,stable,01,70,29,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01081,59.4,71,stable,01,57.1,66,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01083,73.4,69,stable,01,55.9,51,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01085,57.6,8,stable,01,44,6,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01087,57.9,15,stable,01,41.1,10,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01089,64.8,236,falling,01,50.4,179,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
01091,61.6,17,stable,01,51.9,15,AL,Alabama,887260.0,384633.0,502627.0,43623.0,1969108.0,313448.0,2179519.0,287711.0,4148627.0,601159.0,4858979.0
