 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Average Annual Count,Recent Trend
22105,79.3,100,stable
22107,58.5,4,stable
22109,76.2,86,stable
22111,78.9,24,stable
22113,77.5,49,stable
22115,91.7,39,stable
22117,92,53,stable
22119,86.3,46,stable
22121,71.5,18,stable
22123,78.5,12,stable
22125,80.1,14,stable
22127,80.3,15,stable
23001,78.1,101,stable
23003,84.1,92,stable
23005,68.3,237,stable
23007,57.7,24,stable
23009,68.8,56,stable
23011,75.6,121,stable
23013,72,45,stable
23015,50.8,30,stable
23017,85.6,70,stable
23019,84.4,160,stable
23021,75.8,21,stable
23023,66,31,stable
23025,84.3,60,stable
23027,83.6,44,stable
23029,87.8,45,stable
23031,71.7,187,stable
24001,78.1,82,stable
24003,64.3,364,stable
24005,67.6,661,stable
24009,64.7,57,stable
24011,75.1,28,stable
24013,61,117,stable
24015,79.2,85,stable
24017,55.4,74,stable
24019,73.1,34,stable
24021,52.7,124,stable
24023,49.5,21,stable
24025,68.6,184,rising
24027,44.4,118,stable
24029,61.1,20,stable
24031,35.4,371,falling
24033,46.6,361,falling
24035,63.9,39,stable
24037,68.8,68,stable
24039,95.9,29,stable
24041,51.1,34,stable
24043,71.8,126,stable
24045,79.4,87,falling
24047,70.2,63,stable
24510,80.9,512,stable
25001,60,247,stable
25003,70,135,stable
25005,72.9,476,stable
25007,53.7,13,stable
25009,67.5,602,stable
25011,52.1,50,stable
25013,67.8,368,stable
25015,52.5,90,stable
25017,61.8,1031,falling
25019,52.8,6,stable
25021,63,511,stable
25023,72.4,430,stable
25025,69.7,448,falling
25027,69.8,616,stable
26001,66.2 #  ,15,stable
26003,48.6 #  ,8,stable
26005,53.7 #  ,70,stable
26007,77.1 #  ,35,falling
26009,59.1 #  ,24,stable
26011,104.9 #  ,27,stable
26013,74.9 #  ,9,stable
26015,45.3 #  ,34,stable
26017,60.7 #  ,87,stable
26019,71.4 #  ,21,stable
26021,69.7 #  ,143,stable
26023,61.6 #  ,34,stable
26025,71.1 #  ,119,stable
26027,56.1 #  ,39,stable
26029,61.7 #  ,24,stable
26031,73.6 #  ,32,stable
26033,73.6 #  ,34,stable
26035,75.6 #  ,37,stable
26037,36.6 #  ,31,stable
26039,73 #  ,17,stable
26041,63.2 #  ,36,stable
26043,50.7 #  ,20,stable
26045,51.8 #  ,68,stable
26047,63 #  ,29,stable
26049,80.3 #  ,399,stable
26051,79 #  ,35,stable
26053,63.1 #  ,17,stable
26055,66.4 #  ,74,stable
26057,66 #  ,33,stable
26059,62.4 #  ,39,stable
26061,49.6 #  ,21,stable
26063,56.8 #  ,31,stable
26065,58.8 #  ,155,stable
26067,63.5 #  ,43,stable
26069,65.6 #  ,34,stable
26071,60.4 #  ,15,stable
26073,69.2 #  ,41,stable
26075,82 #  ,157,stable
26077,61.3 #  ,163,stable
26079,73.4 #  ,18,stable
26081,59.3 #  ,353,stable
26083,* ,3 or fewer,*
26085,77.4 #  ,16,stable
26087,71.9 #  ,76,stable
26089,35.7 #  ,14,stable
26091,60 #  ,73,stable
26093,54.6 #  ,108,stable
26095,84 #  ,8,stable
26097,61.9 #  ,12,stable
26099,75.2,756,falling
26101,67.3 #  ,27,stable
26103,64.9 #  ,54,stable
26105,54.9 #  ,24,stable
26107,69.4 #  ,36,stable
26109,50.1 #  ,19,stable
26111,58 #  ,60,stable
26113,73.3 #  ,15,stable
26115,63.6 #  ,115,stable
26117,75.3 #  ,56,stable
26119,78.6 #  ,15,stable
26121,77.6 #  ,155,stable
26123,63.8 #  ,40,stable
26125,62.8,866,stable
26127,51.2 #  ,19,stable
26129,73.2 #  ,27,stable
26131,71.1 #  ,10,falling
26133,97 #  ,31,stable
26135,87.3 #  ,14,stable
26137,68.2 #  ,23,falling
26139,39.3 #  ,105,stable
26141,57.9 #  ,15,stable
26143,81 #  ,41,stable
26145,69.1 #  ,173,stable
26147,69.5 #  ,141,falling
26149,65.7 #  ,49,stable
26151,50.2 #  ,30,stable
26153,70.8 #  ,10,stable
26155,77.9 #  ,67,stable
26157,73.5 #  ,55,stable
26159,68.2 #  ,63,stable
26161,54.4 #  ,172,stable
26163,83,1634,falling
26165,90.7 #  ,38,stable
27001,_ ,_,_
27003,_ ,_,_
27005,_ ,_,_
27007,_ ,_,_
27009,_ ,_,_
27011,_ ,_,_
27013,_ ,_,_
27015,_ ,_,_
27017,_ ,_,_
27019,_ ,_,_
27021,_ ,_,_
27023,_ ,_,_
27025,_ ,_,_
27027,_ ,_,_
27029,_ ,_,_
27031,_ ,_,_
27033,_ ,_,_
27035,_ ,_,_
27037,_ ,_,_
27039,_ ,_,_
27041,_ ,_,_
27043,_ ,_,_
27045,_ ,_,_
27047,_ ,_,_
27049,_ ,_,_
27051,_ ,_,_
27053,_ ,_,_
27055,_ ,_,_
27057,_ ,_,_
27059,_ ,_,_
27061,_ ,_,_
27063,_ ,_,_
27065,_ ,_,_
27067,_ ,_,_
27069,_ ,_,_
27071,_ ,_,_
27073,_ ,_,_
27075,_ ,_,_
27077,_ ,_,_
27079,_ ,_,_
27081,_ ,_,_
27083,_ ,_,_
27085,_ ,_,_
27087,_ ,_,_
27089,_ ,_,_
27091,_ ,_,_
27093,_ ,_,_
27095,_ ,_,_
27097,_ ,_,_
27099,_ ,_,_
27101,_ ,_,_
27103,_ ,_,_
27105,_ ,_,_
27107,_ ,_,_
27109,_ ,_,_
27111,_ ,_,_
27113,_ ,_,_
27115,_ ,_,_
27117,_ ,_,_
27119,_ ,_,_
27121,_ ,_,_
27123,_ ,_,_
27125,_ ,_,_
27127,_ ,_,_
27129,_ ,_,_
27131,_ ,_,_
27133,_ ,_,_
27135,_ ,_,_
27137,_ ,_,_
27139,_ ,_,_
27141,_ ,_,_
27143,_ ,_,_
27145,_ ,_,_
27147,_ ,_,_
27149,_ ,_,_
27151,_ ,_,_
27153,_ ,_,_
27155,_ ,_,_
27157,_ ,_,_
27159,_ ,_,_
27161,_ ,_,_
27163,_ ,_,_
27165,_ ,_,_
27167,_ ,_,_
27169,_ ,_,_
27171,_ ,_,_
27173,_ ,_,_
28001,69,29,stable
28003,75.7,37,stable
28005,56.9,11,stable
28007,62.5,17,stable
28009,61.8,7,stable
28011,76.2,27,stable
28013,88.1,17,stable
28015,72.3,11,stable
28017,78.4,16,falling
28019,44.4,5,stable
28021,93.3,10,stable
28023,75,17,stable
28025,78.5,20,stable
28027,76.3,21,stable
28029,86.2,30,stable
28031,78,19,stable
28033,78.4,118,stable
28035,84.2,61,stable
28037,49.9,5,stable
28039,74.7,19,stable
28041,46.1,7,stable
28043,93.4,25,stable
28045,72.8,41,stable
28047,89.5,179,stable
28049,75.4,178,stable
28051,95,19,stable
28053,72.3,7,stable
28055,* ,3 or fewer,*
28057,95.6,28,stable
28059,75.8,116,falling
28061,78.7,18,stable
28063,77.7,7,stable
28065,68.6,12,stable
28067,62.9,50,stable
28069,57,8,stable
28071,63.6,28,stable
28073,62.7,33,stable
28075,70.4,65,stable
28077,106,17,stable
28079,75,20,stable
28081,91.3,83,stable
28083,82.3,26,stable
28085,68.5,28,stable
28087,70.2,45,stable
28089,70.9,64,stable
28091,81.8,27,falling
28093,80.6,34,stable
28095,81.6,38,stable
28097,65.6,10,stable
28099,59.2,19,stable
28101,68.2,18,stable
28103,57.8,8,stable
28105,51.9,20,stable
28107,75.2,29,stable
28109,89,60,stable
28111,81.6,12,stable
28113,78.4,38,stable
28115,80.5,27,stable
28117,82.4,26,stable
28119,75.1,7,stable
28121,76.4,111,stable
28123,87.3,27,stable
28125,55.8,3,*
28127,85.9,28,stable
28129,61.9,13,stable
28131,82.2,16,falling
28133,65,18,stable
28135,81.1,13,stable
28137,87.8,27,stable
28139,71.8,19,stable
28141,78.4,22,stable
28143,84.2,8,stable
28145,72.4,23,stable
28147,50.8,10,stable
28149,73.7,41,stable
28151,75.8,42,rising
28153,61.2,15,stable
28155,90.6,12,stable
28157,60.5,7,stable
28159,83.9,21,stable
28161,114.7,20,stable
28163,95.3,27,stable
29001,57.8,15,stable
29003,50.5,11,stable
29005,71,7,stable
29007,90.1,29,stable
29009,77.4,39,rising
29011,67.2,12,rising
29013,80.8,19,stable
29015,89.1,33,stable
29017,96.4,16,stable
29019,63.4,86,falling
29021,86.8,88,stable
29023,95.7,56,stable
29025,89.3,11,stable
29027,79.4,39,stable
29029,68.6,51,stable
29031,70.1,62,stable
29033,94.6,13,stable
29035,110,9,stable
29037,70.1,81,stable
29039,78.3,17,stable
29041,67.7,8,stable
29043,63,53,stable
29045,95.2,9,stable
29047,79,173,stable
29049,83.5,22,stable
29051,64,53,stable
29053,69,15,stable
29055,93.1,30,stable
29057,83.3,10,stable
29059,79.2,18,stable
29061,75,9,stable
29063,39.5,6,stable
29065,74.4,17,stable
29067,51.9,11,stable
29069,100.1,41,stable
29071,76.9,92,stable
29073,64,15,falling
29075,66.3,7,stable
29077,69.8,220,stable
29079,71.9,11,stable
29081,79.6,11,stable
29083,100.3,33,stable
29085,73.4,16,stable
29087,68.3,5,stable
29089,54.6,7,rising
29091,81.4,44,stable
29093,103.3,16,stable
29095,75.3,542,stable
29097,85.8,109,stable
29099,85.9,195,stable
29101,66.1,33,stable
29103,92.7,6,stable
29105,76.5,35,stable
29107,73.9,32,stable
29109,66.5,34,stable
29111,79.9,11,rising
29113,87.7,45,stable
29115,91.5,17,stable
29117,86.8,18,stable
29119,77.8,19,stable
29121,41.9,10,rising
29123,106.8,19,stable
29125,60.4,8,stable
29127,87.9,33,stable
29129,114.1,7,stable
29131,88.8,28,stable
29133,100,18,stable
29135,54.6,10,stable
29137,77.2,10,stable
29139,83,14,stable
29141,85,29,stable
29143,112.7,28,stable
29145,57.8,42,stable
29147,73.5,18,stable
29149,65.2,12,stable
29151,59.6,10,stable
29153,78.9,14,stable
29155,88.6,19,stable
29157,75.1,18,stable
29159,71.2,35,stable
29161,71.7,36,stable
29163,94.3,22,stable
29165,59.8,56,stable
29167,66,26,stable
29169,103.4,35,stable
29171,92.9,7,stable
29173,67,9,stable
29175,84.8,25,stable
29177,92.8,27,stable
29179,68.4,7,stable
29181,95,20,stable
29183,73.7,264,stable
29185,73.6,13,falling
29186,53.6,13,stable
29187,106.8,82,stable
29189,69,854,stable
29195,74.3,22,stable
29197,64.2,4,stable
29199,58,4,stable
29201,99,49,stable
29203,70.3,9,stable
29205,71.9,7,stable
29207,93.4,39,stable
29209,66.5,39,stable
29211,88.6,8,stable
29213,80.6,58,stable
29215,71,26,stable
29217,75.9,21,rising
29219,76,30,stable
29221,93,28,stable
29223,114.9,25,stable
29225,73.9,30,stable
29227,* ,3 or fewer,*
29229,83.4,21,falling
29510,88.9,275,stable
30001,52,7,stable
30003,42.3,5,stable
30005,76.8,6,stable
30007,44.9,4,stable
30009,35.8,6,stable
30011,* ,3 or fewer,*
30013,66.6,68,stable
30015,59.1,5,rising
30017,70.8,11,stable
30019,* ,3 or fewer,*
30021,84.6,11,stable
30023,59.5,9,stable
30025,* ,3 or fewer,*
30027,58.5,12,stable
30029,58.4,65,stable
30031,37.1,29,falling
30033,* ,3 or fewer,*
30035,92.4,11,stable
30037,* ,3 or fewer,*
30039,* ,3 or fewer,*
30041,64.4,11,stable
30043,71.9,11,stable
30045,* ,3 or fewer,*
30047,52.6,21,stable
30049,65.2,49,stable
30051,* ,3 or fewer,*
30053,71.4,24,stable
30055,* ,3 or fewer,*
30057,44.9,6,stable
30059,97.1,3,*
30061,66.4,5,stable
30063,56.9,61,stable
30065,82,6,stable
30067,42.8,9,stable
30069,* ,3 or fewer,*
30071,53.2,4,stable
30073,66.3,6,stable
30075,* ,3 or fewer,*
30077,85.3,8,stable
30079,* ,3 or fewer,*
30081,48.9,31,stable
30083,78.6,10,stable
30085,64.2,6,stable
30087,56.8,5,stable
30089,62.1,13,stable
30091,68,5,*
30093,56,25,stable
30095,49.2,7,stable
30097,70.2,4,stable
30099,60.8,6,stable
30101,77.5,5,stable
30103,* ,3 or fewer,*
30105,48.8,6,rising
30107,* ,3 or fewer,*
30109,* ,3 or fewer,*
30111,60.9,105,stable
31001,62.7,24,stable
31003,51.1,6,stable
31005,* ,3 or fewer,*
31007,* ,3 or fewer,*
31009,* ,3 or fewer,*
31011,50.2,4,stable
31013,48.9,7,stable
31015,* ,3 or fewer,*
31017,* ,3 or fewer,*
31019,49.3,23,stable
31021,66.2,7,stable
31023,48,6,stable
31025,65.5,19,stable
31027,32.5,5,stable
31029,77.6,5,stable
31031,38.1,3,*
31033,60.7,8,stable
31035,54.1,5,stable
31037,45.9,5,stable
31039,41.6,6,stable
31041,48.3,8,stable
31043,73,15,stable
31045,43.8,5,stable
31047,45.9,13,stable
31049,* ,3 or fewer,*
31051,63.3,6,stable
31053,70.2,36,stable
31055,69.5,338,stable
31057,* ,3 or fewer,*
31059,48.1,5,stable
31061,* ,3 or fewer,*
31063,* ,3 or fewer,*
31065,65.8,5,stable
31067,59.5,19,stable
31069,* ,3 or fewer,*
31071,* ,3 or fewer,*
31073,* ,3 or fewer,*
31075,* ,3 or fewer,*
31077,* ,3 or fewer,*
31079,57.8,38,stable
31081,48,6,stable
31083,* ,3 or fewer,*
31085,* ,3 or fewer,*
31087,* ,3 or fewer,*
31089,49.5,8,stable
31091,* ,3 or fewer,*
31093,54.1,5,stable
31095,65.2,8,stable
31097,97.5,7,stable
31099,60.8,6,stable
31101,49.2,7,stable
31103,* ,3 or fewer,*
31105,60.6,4,stable
31107,59.3,8,stable
31109,57.3,155,stable
31111,57.1,26,stable
31113,* ,3 or fewer,*
31115,* ,3 or fewer,*
31117,* ,3 or fewer,*
31119,61.4,25,stable
31121,68,8,stable
31123,71.6,5,stable
31125,* ,3 or fewer,*
31127,62.5,6,stable
31129,64.8,5,stable
31131,59.6,13,rising
31133,60.9,3,*
31135,* ,3 or fewer,*
31137,44.3,6,stable
31139,56,6,stable
31141,54.9,21,stable
31143,65.7,5,stable
31145,49.5,8,stable
31147,60.6,8,stable
31149,* ,3 or fewer,*
31151,79.5,12,stable
31153,65.1,81,stable
31155,60.8,17,stable
31157,45.9,22,stable
31159,44.2,9,stable
31161,42.2,4,stable
31163,* ,3 or fewer,*
31165,* ,3 or fewer,*
31167,* ,3 or fewer,*
31169,57.9,5,stable
31171,* ,3 or fewer,*
31173,65.1,4,stable
31175,* ,3 or fewer,*
31177,43.1,11,stable
31179,29.3,3,*
31181,68.8,5,stable
31183,* ,3 or fewer,*
31185,36.8,7,stable
32001,__ ,__,__
32003,__ ,__,__
32005,__ ,__,__
32007,__ ,__,__
32009,__ ,__,__
32011,__ ,__,__
32013,__ ,__,__
32015,__ ,__,__
32017,__ ,__,__
32019,__ ,__,__
32021,__ ,__,__
32023,__ ,__,__
32027,__ ,__,__
32029,__ ,__,__
32031,__ ,__,__
32033,__ ,__,__
32510,__ ,__,__
33001,65.6,56,falling
33003,65.8,53,stable
33005,66.6,63,stable
33007,69.9,36,stable
33009,56.4,65,stable
33011,66.2,283,stable
33013,66.9,118,stable
33015,72.5,242,stable
33017,75,96,stable
33019,72.6,44,stable
34001,69.9,230,falling
34003,50.9,580,falling
34005,65.1,342,stable
34007,71.9,406,stable
34009,83.5,136,stable
34011,73.4,122,stable
34013,50.9,399,falling
34015,80.5,250,stable
34017,48.8,279,falling
34019,54.4,80,falling
34021,59.1,235,falling
34023,53.4,459,stable
34025,63.9,475,stable
34027,49.6,287,falling
34029,71.4,645,falling
34031,53.8,276,falling
34033,72.8,62,falling
34035,48.7,171,falling
34037,64.2,106,falling
34039,47.9,274,falling
34041,65.4,85,falling
35001,39.4,277,falling
35003,41.2,4,*
35005,47.5,36,falling
35006,50.6,15,stable
35007,38.1,9,stable
35009,46.8,21,stable
35011,* ,3 or fewer,*
35013,42.6,92,stable
35015,47.3,29,stable
35017,44.7,22,stable
35019,* ,3 or fewer,*
35021,* ,3 or fewer,*
35023,* ,3 or fewer,*
35025,57.7,34,falling
35027,45.4,17,stable
35028,26.5,7,stable
35029,56.8,22,stable
35031,13.5,9,falling
35033,* ,3 or fewer,*
35035,58.5,45,stable
35037,62.1,9,stable
35039,34.8,16,stable
35041,55.2,10,stable
35043,40.4,58,stable
35045,44,53,stable
35047,37.3,14,stable
35049,31.7,59,stable
35051,55.1,16,stable
35053,47.8,10,stable
35055,35,16,stable
35057,49,11,stable
35059,* ,3 or fewer,*
35061,50.8,42,stable
36001,73,258,stable
36003,76.9,46,stable
36005,50.4,641,stable
36007,61.7,160,stable
36009,75.8,77,stable
36011,77.7,79,stable
36013,67.9,122,stable
36015,77,88,stable
36017,71.9,49,stable
36019,95.1,90,stable
36021,79,74,rising
36023,79,43,stable
36025,68.9,51,stable
36027,64.7,226,stable
36029,76.2,886,stable
36031,68,40,stable
36033,77.9,46,stable
36035,80,58,stable
36037,80.4,61,stable
36039,72.7,51,stable
36041,78.4,7,stable
36043,71.1,63,stable
36045,79.6,88,stable
36047,49.3,1218,stable
36049,62.7,22,stable
36051,67.2,52,stable
36053,79.9,69,stable
36055,65.2,569,falling
36057,81.1,53,stable
36059,58.4,992,stable
36061,50.4,892,stable
36063,80.1,227,stable
36065,79.9,245,stable
36067,78.2,432,falling
36069,72.6,102,stable
36071,67.8,248,stable
36073,89.8,47,stable
36075,92.6,126,stable
36077,66.5,55,stable
36079,69,77,stable
36081,47.8,1161,falling
36083,84,157,stable
36085,66.4,344,stable
36087,50.2,177,stable
36089,82.4,108,falling
36091,72.2,188,stable
36093,70.9,135,stable
36095,65.1,29,stable
36097,70.3,18,stable
36099,81.3,37,stable
36101,80,104,stable
36103,69.7,1195,stable
36105,71.9,71,stable
36107,64.4,44,falling
36109,57.6,54,stable
36111,71.5,164,stable
36113,71.2,66,rising
36115,88.7,71,falling
36117,72.8,84,stable
36119,53.2,615,stable
36121,68.3,34,stable
36123,73.2,25,stable
37001,71.3,131,stable
37003,75.7,36,stable
37005,62.4,12,stable
37007,80.5,26,stable
37009,70.1,30,stable
37011,65.5,17,stable
37013,83.5,58,stable
37015,69.7,20,stable
37017,64.1,30,stable
37019,69.8,127,stable
37021,66.2,211,stable
37023,83.1,100,stable
37025,76.9,135,stable
37027,82.9,89,falling
37029,41.1,5,stable
37031,76.1,77,stable
37033,70.4,22,rising
37035,68.8,126,stable
37037,53,52,stable
37039,79.1,39,stable
37041,66.1,15,stable
37043,69.3,14,stable
37045,72.3,90,stable
37047,82.6,61,stable
37049,81,103,stable
37051,73.3,202,stable
37053,78.6,22,falling
37055,66.3,31,stable
37057,83.9,170,stable
37059,81.6,47,stable
37061,62,45,stable
37063,61.1,147,stable
37065,65.8,47,stable
37067,70.9,277,stable
37069,76.3,53,stable
37071,87.2,211,stable
37073,51.8,8,stable
37075,48.8,7,stable
37077,82.3,56,stable
37079,70.2,17,stable
37081,70.3,367,stable
37083,68.9,51,stable
37085,86.3,93,stable
37087,70.2,67,stable
37089,59.9,109,stable
37091,68.3,22,stable
37093,96.9,34,stable
37095,83.6,6,stable
37097,73.9,131,stable
37099,64.9,33,stable
37101,70.1,116,stable
37103,86.4,13,stable
37105,76.6,51,falling
37107,73,57,stable
37109,71.6,65,stable
37111,88.6,54,stable
37113,75.4,46,stable
37115,56.5,18,stable
37117,68,24,stable
37119,59.4,452,stable
37121,81.4,20,stable
37123,71.3,26,stable
37125,73.7,108,stable
37127,72.8,85,stable
37129,66.2,158,stable
37131,72.4,24,stable
37133,85.5,101,stable
37135,57.5,69,stable
37137,83.3,19,stable
37139,68.8,32,stable
37141,70.9,49,stable
37143,68.9,15,stable
37145,84.6,42,stable
37147,62.9,95,stable
37149,50.3,19,stable
37151,86.5,147,stable
37153,85.7,49,stable
37155,69.2,95,stable
37157,89.9,113,stable
37159,85.9,144,stable
37161,79.4,76,stable
37163,77.7,60,stable
37165,84.5,36,stable
37167,80.4,64,stable
37169,90.6,58,stable
37171,82.9,83,stable
37173,95.5,18,stable
37175,53.6,33,stable
37177,97.5,6,stable
37179,62.9,113,stable
37181,71,39,stable
37183,55.9,406,falling
37185,81.7,26,stable
37187,58.6,11,stable
37189,51.4,26,stable
37191,76.6,105,stable
37193,77.2,75,stable
37195,71.2,71,stable
37197,82.2,42,stable
37199,86.3,25,stable
38001,* ,3 or fewer,*
38003,64.5,10,falling
38005,59.4,4,stable
38007,* ,3 or fewer,*
38009,58.3,6,*
38011,81.7,4,stable
38013,* ,3 or fewer,*
38015,52.2,49,stable
38017,59.8,80,rising
38019,50.3,4,stable
38021,49.6,4,rising
38023,* ,3 or fewer,*
38025,* ,3 or fewer,*
38027,* ,3 or fewer,*
38029,43.3,3,*
38031,* ,3 or fewer,*
38033,* ,3 or fewer,*
38035,59.7,36,stable
38037,* ,3 or fewer,*
38039,* ,3 or fewer,*
38041,* ,3 or fewer,*
38043,* ,3 or fewer,*
38045,* ,3 or fewer,*
38047,* ,3 or fewer,*
38049,63.6,6,stable
38051,* ,3 or fewer,*
38053,43.5,3,*
38055,53.4,8,stable
38057,50.6,6,stable
38059,68.7,24,stable
38061,70.9,6,stable
38063,71.9,4,stable
38065,* ,3 or fewer,*
38067,65.2,8,stable
38069,41,3,*
38071,73.7,11,stable
38073,67.9,6,stable
38075,* ,3 or fewer,*
38077,45.2,9,stable
38079,76.5,10,stable
38081,100,6,falling
38083,* ,3 or fewer,*
38085,* ,3 or fewer,*
38087,* ,3 or fewer,*
38089,42.7,13,stable
38091,* ,3 or fewer,*
38093,56.5,17,stable
38095,* ,3 or fewer,*
38097,62,7,rising
38099,56.7,10,stable
38101,64.6,41,stable
38103,40.6,4,stable
38105,53.9,14,stable
39001,87.1,32,stable
39003,70.4,90,stable
39005,61.2,41,stable
39007,79.2,103,stable
39009,76.6,43,falling
39011,68.1,40,stable
39013,61.3,60,stable
39015,106.2,58,stable
39017,75,285,stable
39019,79.7,31,stable
39021,64,31,stable
39023,76.8,139,stable
39025,85.3,181,falling
39027,86.6,42,stable
39029,68.6,101,stable
39031,74,36,stable
39033,66.6,41,stable
39035,68.7,1108,falling
39037,65.9,46,stable
39039,67.3,32,stable
39041,61,94,stable
39043,65,71,stable
39045,73.6,117,falling
39047,87.4,32,stable
39049,70.3,736,stable
39051,48.4,25,falling
39053,88.7,35,stable
39055,51.4,63,stable
39057,60.9,113,stable
39059,82.2,43,stable
39061,75.1,673,stable
39063,57.9,52,stable
39065,72.9,26,stable
39067,72.7,17,stable
39069,55.3,20,stable
39071,75.8,41,stable
39073,75.9,28,stable
39075,40,16,stable
39077,78.2,54,stable
39079,82.3,33,stable
39081,78.6,78,stable
39083,69.8,51,stable
39085,73,222,stable
39087,83.4,66,stable
39089,78.5,149,falling
39091,70.7,40,stable
39093,71,259,stable
39095,61.9,306,stable
39097,74.8,36,stable
39099,69.4,232,stable
39101,82.9,67,falling
39103,62.1,123,stable
39105,71.8,22,stable
39107,52.9,28,stable
39109,73.7,95,falling
39111,60.3,13,stable
39113,76.4,507,stable
39115,80.5,18,stable
39117,80.1,34,stable
39119,80.6,87,stable
39121,48.6,12,stable
39123,66,43,stable
39125,87.6,21,stable
39127,78.5,33,stable
39129,77.5,49,stable
39131,91.3,33,stable
39133,72.1,128,stable
39135,72.2,39,stable
39137,45.5,19,stable
39139,71.5,118,falling
39141,85.2,79,stable
39143,69.2,53,stable
39145,97.8,96,stable
39147,72.1,49,stable
39149,55.7,32,stable
39151,68.1,338,stable
39153,67.2,449,falling
39155,80.8,237,stable
39157,61,76,stable
39159,68.9,33,stable
39161,56.2,21,stable
39163,114.2,19,stable
39165,65.8,139,stable
39167,75.8,67,stable
39169,57,79,stable
39171,66,32,stable
39173,53.3,73,stable
39175,74.4,22,stable
40001,71.5,18,stable
40003,61.2,5,stable
40005,80.2,14,stable
40007,* ,3 or fewer,*
40009,53.8,13,stable
40011,66.4,9,stable
40013,87.9,48,stable
40015,85.3,30,stable
40017,70.2,80,stable
40019,77.6,45,stable
40021,79.3,41,stable
40023,80.4,17,stable
40025,* ,3 or fewer,*
40027,66.3,156,falling
40029,85.8,7,stable
40031,72.8,80,stable
40033,59.8,5,stable
40035,85.9,18,stable
40037,87.7,78,stable
40039,71.5,21,stable
40041,71.3,46,stable
40043,48.3,4,stable
40045,65.8,4,stable
40047,62.4,46,stable
40049,87.9,32,stable
40051,67.6,41,stable
40053,60.2,4,stable
40055,89.8,7,stable
40057,* ,3 or fewer,*
40059,76.8,4,stable
40061,75.8,13,stable
40063,88.5,17,stable
40065,58.6,17,stable
40067,79,7,stable
40069,54.9,8,stable
40071,72.9,45,stable
40073,70.4,13,stable
40075,75.1,10,stable
40077,59.9,9,stable
40079,62.2,38,stable
40081,66.3,30,stable
40083,67.4,32,stable
40085,57.5,7,stable
40087,83,32,stable
40089,94.2,39,stable
40091,76.9,26,stable
40093,59.3,6,stable
40095,71.7,18,stable
40097,84.2,44,stable
40099,97.5,18,stable
40101,97.9,84,stable
40103,59.7,9,stable
40105,59.7,9,stable
40107,65.3,11,stable
40109,69.5,513,stable
40111,95.2,48,stable
40113,55.9,36,stable
40115,80.2,34,stable
40117,77.7,18,stable
40119,62,42,stable
40121,76.3,47,falling
40123,73.3,33,stable
40125,85.4,70,stable
40127,65.2,11,stable
40129,* ,3 or fewer,*
40131,62.8,64,stable
40133,85.9,29,stable
40135,71.1,38,stable
40137,69.2,42,stable
40139,51.3,9,stable
40141,59.7,6,stable
40143,67.1,421,stable
40145,68.8,56,stable
40147,78.6,56,stable
40149,52.9,8,falling
40151,55.5,6,stable
40153,41,10,stable
41001,65,18,stable
41003,48.9,43,stable
41005,55.2,245,stable
41007,72.4,37,stable
41009,63.2,38,stable
41011,73.5,78,stable
41013,54,19,stable
41015,61.9,29,stable
41017,53.1,105,stable
41019,67,118,falling
41021,* ,3 or fewer,*
41023,41.9,6,stable
41025,43.9,5,stable
41027,45.6,11,stable
41029,62.6,184,stable
41031,50.9,14,stable
41033,72.1,104,stable
41035,60.3,56,stable
41037,47,6,stable
41039,53.9,237,stable
41041,74.4,60,stable
41043,71.3,106,stable
41045,54,20,stable
41047,66.1,227,stable
41049,62.3,8,stable
41051,62.2,432,stable
41053,52.1,48,stable
41055,* ,3 or fewer,*
41057,63.6,27,stable
41059,58,48,stable
41061,44.7,15,falling
41063,46.3,6,stable
41065,74.1,26,stable
41067,48,231,stable
41069,* ,3 or fewer,*
41071,65.2,73,stable
42001,59.2,79,stable
42003,72.5,1193,stable
42005,66.4,67,stable
42007,76.5,192,stable
42009,51,37,stable
42011,64.1,316,rising
42013,66.3,119,stable
42015,70.7,63,stable
42017,62.5,487,stable
42019,61.4,143,stable
42021,56.7,119,stable
42023,60.6,5,stable
42025,72.7,68,stable
42027,53.1,77,stable
42029,54,301,stable
42031,59.2,31,stable
42033,60.3,69,stable
42035,67.7,34,stable
42037,58,50,stable
42039,67.5,81,stable
42041,56.8,172,stable
42043,66.7,210,stable
42045,70.8,468,falling
42047,65.8,32,stable
42049,66.5,225,stable
42051,77.5,151,stable
42053,68.6,8,stable
42055,58.5,116,stable
42057,54.3,11,stable
42059,84.2,42,stable
42061,58.4,36,stable
42063,52.9,59,stable
42065,66.1,43,stable
42067,54.7,18,stable
42069,70.4,208,stable
42071,53.3,340,stable
42073,71.3,95,stable
42075,65.3,120,stable
42077,63.6,271,stable
42079,68.7,308,stable
42081,67.1,101,stable
42083,68.1,39,stable
42085,66.9,110,stable
42087,70.4,48,stable
42089,72.5,139,stable
42091,56.8,569,stable
42093,56.1,15,stable
42095,64.7,249,stable
42097,66.3,91,stable
42099,71.8,41,stable
42101,81.5,1260,falling
42103,64.5,52,stable
42105,79.8,22,stable
42107,68.1,144,stable
42109,50.4,25,stable
42111,48.5,56,stable
42113,69.3,8,rising
42115,53.6,35,stable
42117,69.6,41,stable
42119,57.6,30,stable
42121,74.7,60,stable
42123,59.9,38,stable
