 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000",Average Annual Count,Recent Trend
8037,28.3,9,stable
8039,47.5,10,stable
8041,50.3,282,falling
8043,56.4,38,stable
8045,43.2,19,stable
8047,* ,3 or fewer,*
8049,47.5,6,stable
8051,24.8,3,*
8053,* ,3 or fewer,*
8055,59.2,8,stable
8057,* ,3 or fewer,*
8059,43.7,262,stable
8061,* ,3 or fewer,*
8063,55.1,6,stable
8065,* ,3 or fewer,*
8067,34.4,19,stable
8069,39.7,124,stable
8071,46.9,10,stable
8073,53.5,4,stable
8075,36.4,10,stable
8077,56.1,102,stable
8079,* ,3 or fewer,*
8081,40,6,stable
8083,40.2,15,stable
8085,49.6,28,stable
8087,49.5,16,stable
8089,40.5,11,stable
8091,* ,3 or fewer,*
8093,35.8,8,falling
8095,53,4,stable
8097,24.1,4,rising
8099,67.3,10,stable
8101,49.8,99,stable
8103,* ,3 or fewer,*
8105,29.2,5,stable
8107,31.5,6,stable
8109,60.6,4,stable
8111,* ,3 or fewer,*
8113,* ,3 or fewer,*
8115,* ,3 or fewer,*
8117,14.8,4,*
8119,41.1,11,stable
8121,* ,3 or fewer,*
8123,45.7,101,stable
8125,62.5,8,stable
9001,54.9,571,falling
9003,62,662,falling
9005,62.5,160,stable
9007,65.7,144,stable
9009,70.2,718,falling
9011,68.7,224,stable
9013,62.7,98,stable
9015,65,86,stable
10001,79.2,147,stable
10003,67.3,387,stable
10005,74.2,239,stable
11001,59,351,stable
12001,67.8,160,stable
12003,99.5,27,stable
12005,88.4,185,stable
12007,82.1,28,stable
12009,74.2,647,falling
12011,53.5,1129,falling
12013,78.2,15,stable
12015,62.3,233,falling
12017,79.7,244,stable
12019,79.2,161,stable
12021,43.3,268,falling
12023,88.2,77,stable
12027,57.7,28,stable
12029,100,26,stable
12031,78.1,685,stable
12033,78.4,281,stable
12035,67.7,120,stable
12037,93.4,16,stable
12039,66.4,38,stable
12041,74.3,17,stable
12043,54.9,13,stable
12045,92.6,20,stable
12047,67.8,12,stable
12049,69,20,stable
12051,65.2,25,stable
12053,74.9,241,stable
12055,73.3,155,stable
12057,69.7,895,falling
12059,71.2,20,stable
12061,67,180,stable
12063,48.4,31,stable
12065,42.5,9,stable
12067,97.3,9,stable
12069,76,400,stable
12071,59.2,651,stable
12073,54.8,130,stable
12075,103.5,67,stable
12077,73.3,6,stable
12079,54.8,14,stable
12081,59,328,stable
12083,82,493,falling
12085,59.6,177,stable
12086,44.4,1310,stable
12087,54.6,62,stable
12089,81.2,83,stable
12091,71.8,153,stable
12093,93.3,48,stable
12095,57.6,588,stable
12097,54.7,147,stable
12099,54.1,1183,stable
12101,75.9,552,stable
12103,68.9,1032,stable
12105,74.4,631,falling
12107,97.2,106,stable
12109,65.2,166,stable
12111,64.5,277,stable
12113,74.9,130,stable
12115,57.6,479,stable
12117,54.2,246,falling
12119,65.3,180,falling
12121,87.2,53,stable
12123,84.4,25,stable
12125,203.7,35,stable
12127,70.8,568,stable
12129,95.9,31,stable
12131,74.3,57,stable
12133,74.7,23,stable
13001,74.4,15,stable
13003,59.4,5,stable
13005,87.5,11,stable
13007,72.9,3,*
13009,73.5,36,stable
13011,65.2,13,stable
13013,89.6,55,stable
13015,91.3,91,stable
13017,84,18,stable
13019,78.2,18,stable
13021,79.4,134,stable
13023,72.3,11,stable
13025,87.8,18,stable
13027,76.9,16,stable
13029,84.3,22,stable
13031,78.6,44,stable
13033,85.9,21,stable
13035,95.7,25,stable
13037,63.4,4,stable
13039,67.4,29,stable
13043,82.9,11,stable
13045,83.9,88,stable
13047,65.6,50,stable
13049,60,9,stable
13051,65.2,183,stable
13053,84.3,3,*
13055,101.5,31,stable
13057,73.2,135,stable
13059,61.8,52,stable
13061,64.1,3,*
13063,65.1,115,falling
13065,86.9,7,stable
13067,60.3,341,falling
13069,79.5,34,stable
13071,89.5,44,stable
13073,61.4,73,stable
13075,90,17,stable
13077,65,78,stable
13079,100.7,16,stable
13081,72.3,21,stable
13083,79.7,17,stable
13085,74.1,21,stable
13087,70.4,23,stable
13089,53.2,311,falling
13091,81.3,20,stable
13093,58.6,10,stable
13095,73.4,72,stable
13097,81.1,90,stable
13099,61.5,9,stable
13101,* ,3 or fewer,*
13103,85.2,41,stable
13105,73.4,20,stable
13107,67.6,18,stable
13109,68.8,9,stable
13111,73.2,29,stable
13113,47.4,57,stable
13115,81.1,92,stable
13117,60.6,90,stable
13119,81.4,25,stable
13121,54.5,431,falling
13123,76.1,32,stable
13125,* ,3 or fewer,*
13127,71.9,73,stable
13129,94.7,55,stable
13131,74,23,stable
13133,69.9,19,*
13135,51.8,288,falling
13137,64.4,35,stable
13139,61.2,108,stable
13141,38.8,5,*
13143,94.4,33,falling
13145,62,24,stable
13147,69,25,stable
13149,104.6,15,stable
13151,60.3,102,stable
13153,73.2,96,stable
13155,83.4,10,stable
13157,78.4,50,stable
13159,78.7,12,*
13161,76.2,13,stable
13163,62.8,14,*
13165,68.6,7,stable
13167,65.4,8,stable
13169,79.9,27,stable
13171,86.5,18,stable
13173,77.2,8,stable
13175,69.5,41,stable
13177,83.2,19,stable
13179,76.8,30,stable
13181,65.3,7,stable
13183,88.9,10,stable
13185,65.3,62,stable
13187,72.3,24,stable
13189,69.5,18,stable
13191,55,11,stable
13193,69,11,stable
13195,90.4,31,stable
13197,64.6,7,falling
13199,66.8,19,stable
13201,89.1,8,stable
13205,85.1,23,stable
13207,72.7,24,stable
13209,71.7,7,stable
13211,65.5,16,*
13213,103.1,42,stable
13215,70.3,134,stable
13217,78.9,69,stable
13219,46.8,15,stable
13221,75.4,14,stable
13223,77.7,83,stable
13225,77.9,22,stable
13227,82.3,34,stable
13229,80.1,18,stable
13231,75.6,15,stable
13233,102,48,stable
13235,50.6,8,stable
13237,74.4,23,*
13239,110.8,5,stable
13241,67.1,18,stable
13243,56.6,6,stable
13245,72.7,148,falling
13247,60.7,49,stable
13249,69.9,4,stable
13251,79.1,15,stable
13253,66.4,9,stable
13255,74.3,55,stable
13257,76.8,27,stable
13259,65.5,4,stable
13261,63.1,22,stable
13263,73.2,7,stable
13265,* ,3 or fewer,*
13267,100.8,26,stable
13269,54.2,6,stable
13271,55.1,11,stable
13273,63,8,stable
13275,74.5,41,stable
13277,71.4,31,stable
13279,74,23,stable
13281,62.4,15,stable
13283,78.5,6,stable
13285,71.1,52,stable
13287,80.4,9,stable
13289,91.8,12,stable
13291,70.4,30,stable
13293,87.8,31,stable
13295,84.3,72,stable
13297,67.9,61,stable
13299,70.6,32,stable
13301,84.9,7,*
13303,68.2,17,*
13305,76.2,25,stable
13307,* ,3 or fewer,*
13309,62.8,5,stable
13311,69.8,27,stable
13313,77.6,79,stable
13315,64.9,7,stable
13317,66,10,stable
13319,79.9,11,stable
13321,70.8,19,stable
15001,44.9,107,stable
15003,48.3,550,stable
15005,* ,3 or fewer,*
15007,45.2,39,stable
15009,43.2,80,stable
16001,52.2,191,stable
16003,69.5,5,stable
16005,41,32,stable
16007,* ,3 or fewer,*
16009,79,10,stable
16011,38.7,18,stable
16013,22.6,5,stable
16015,69.2,6,stable
16017,54.3,32,stable
16019,35.7,35,stable
16021,46.3,7,stable
16023,* ,3 or fewer,*
16025,* ,3 or fewer,*
16027,56.1,99,stable
16029,* ,3 or fewer,*
16031,34,8,stable
16033,* ,3 or fewer,*
16035,55.4,8,stable
16037,52.4,4,stable
16039,72.4,17,stable
16041,* ,3 or fewer,*
16043,40.4,6,stable
16045,67.1,17,stable
16047,66.9,12,stable
16049,48.2,14,stable
16051,33.9,7,stable
16053,48,10,stable
16055,56.6,96,stable
16057,50.6,17,stable
16059,46.5,7,stable
16061,66.5,4,stable
16063,* ,3 or fewer,*
16065,* ,3 or fewer,*
16067,54.8,13,stable
16069,69.3,38,stable
16071,* ,3 or fewer,*
